t,pos,reward,action,layer_outputs
76,4.188433530989241,-4.188433530989241,0,"[-0.0403953455388546, -0.040441375225782394, -0.04085458442568779, -0.040414195507764816, -0.0395418219268322, -0.03974338620901108]"
77,4.182370363775868,-4.182370363775868,0,"[-0.07571710646152496, -0.07567093521356583, -0.07526081800460815, -0.07569848001003265, -0.07656437903642654, -0.07636383920907974]"
78,4.195040020417078,-4.195040020417078,0,"[-0.059791844338178635, -0.059788063168525696, -0.059748150408267975, -0.0597897432744503, -0.0598750039935112, -0.059854429215192795]"
79,4.21427831311365,-4.21427831311365,0,"[-0.03649109974503517, -0.03654680773615837, -0.037051379680633545, -0.03651409223675728, -0.03544606640934944, -0.035695478320121765]"
80,4.217314701354197,-4.217314701354197,0,"[-0.035779934376478195, -0.03583573177456856, -0.03633001819252968, -0.03580252081155777, -0.03475682809948921, -0.0349990651011467]"
81,4.2284568621680565,-4.2284568621680565,0,"[-0.06247515231370926, -0.062461789697408676, -0.06234152615070343, -0.06247013807296753, -0.0627247616648674, -0.06266550719738007]"
82,4.214365532366467,-4.214365532366467,0,"[-0.035748112946748734, -0.03580169007182121, -0.036286283284425735, -0.03576936572790146, -0.03474268317222595, -0.03498093783855438]"
83,4.233411837755194,-4.233411837755194,0,"[-0.08947237581014633, -0.08939553797245026, -0.08870676904916763, -0.08944140374660492, -0.09089427441358566, -0.09055694937705994]"
84,4.235795756239141,-4.235795756239141,0,"[-0.00679998891428113, -0.006927908398211002, -0.008068785071372986, -0.006852195132523775, -0.004433619789779186, -0.004996180534362793]"
85,4.195651584079785,-4.195651584079785,0,"[-0.07670295983552933, -0.07665325701236725, -0.07621210813522339, -0.07668275386095047, -0.07761561870574951, -0.07739903777837753]"
86,4.184737164585867,-4.184737164585867,0,"[-0.11283063888549805, -0.11270959675312042, -0.1116192564368248, -0.11278102546930313, -0.11507366597652435, -0.1145419329404831]"
87,4.171854178432223,-4.171854178432223,0,"[-0.05235067382454872, -0.052360497415065765, -0.052448470145463943, -0.052354518324136734, -0.05217638984322548, -0.05221697688102722]"
88,4.165571138238971,-4.165571138238971,0,"[-0.08282755315303802, -0.08277377486228943, -0.08229227364063263, -0.0828060433268547, -0.08381699025630951, -0.08358247578144073]"
89,4.177678443849962,-4.177678443849962,0,"[-0.059397950768470764, -0.05939542502164841, -0.059369783848524094, -0.05939711257815361, -0.05945386737585068, -0.05944041162729263]"
90,4.186455491514947,-4.186455491514947,0,"[-0.035574737936258316, -0.03562789410352707, -0.03610646724700928, -0.03559688478708267, -0.03458358347415924, -0.03481881320476532]"
91,4.171128803078376,-4.171128803078376,0,"[-0.05197954922914505, -0.051992375403642654, -0.052106909453868866, -0.051983825862407684, -0.0517418310046196, -0.05179827660322189]"
92,4.109397370782774,-4.109397370782774,0,"[-0.08807995915412903, -0.08801701664924622, -0.08744733780622482, -0.08805478364229202, -0.08925604075193405, -0.08897665143013]"
93,4.10832807693725,-4.10832807693725,0,"[-0.15142768621444702, -0.15124796330928802, -0.14962893724441528, -0.15135420858860016, -0.15474922955036163, -0.15396423637866974]"
94,4.093968657297035,-4.093968657297035,0,"[-0.029083091765642166, -0.02914058417081833, -0.029666639864444733, -0.02910645119845867, -0.028011083602905273, -0.028263118118047714]"
95,4.089862556361106,-4.089862556361106,0,"[-0.0973796471953392, -0.09730502218008041, -0.09664591401815414, -0.09734887629747391, -0.09873507171869278, -0.09841370582580566]"
96,4.106092751344142,-4.106092751344142,0,"[-0.05593378469347954, -0.05594310536980629, -0.056014277040958405, -0.05593802034854889, -0.05578885227441788, -0.05582360923290253]"
97,4.094348727883663,-4.094348727883663,0,"[-0.029063258320093155, -0.029132423922419548, -0.029750894755125046, -0.02909020707011223, -0.02777956612408161, -0.028083937242627144]"
98,4.095242431689418,-4.095242431689418,0,"[-0.09338333457708359, -0.09331575781106949, -0.09270856529474258, -0.09335537254810333, -0.09463587403297424, -0.09433916956186295]"
99,4.051561901260062,-4.051561901260062,0,"[-0.04716081917285919, -0.04718846455216408, -0.04743722081184387, -0.0471729151904583, -0.04664815962314606, -0.046769242733716965]"
100,4.077162740443989,-4.077162740443989,0,"[-0.14471249282360077, -0.1445593386888504, -0.14317192137241364, -0.1446491926908493, -0.14756138622760773, -0.14688697457313538]"
101,4.0734891367621895,-4.0734891367621895,0,"[0.022567225620150566, 0.022405093535780907, 0.020937029272317886, 0.022499827668070793, 0.02557307481765747, 0.024863040074706078]"
